timestamp,node_id,job_id,gpu_index,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,ib_port_xmit_data,ib_port_rcv_data,ib_port_xmit_wait,ib_port_xmit_data_delta,ib_port_rcv_data_delta,ib_port_xmit_wait_delta
1775002018.3346467,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5367198348,5482572418,131536,35643010,35405489,88
1775002018.8347383,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5401936455,5517282717,131544,34738107,34710299,8
1775002019.33483,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5442931919,5558248138,131605,40995464,40965421,61
1775002019.8349183,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5478360038,5593645331,131607,35428119,35397193,2
1775002020.3350062,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5519356936,5634611543,133611,40996898,40966212,2004
1775002020.8350947,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5554785104,5670008722,136565,35428168,35397179,2954
1775002021.3351853,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5589523305,5704719000,136572,34738201,34710278,7
1775002021.8352804,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5630517944,5745684503,137132,40994639,40965503,560
1775002022.335374,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5665945162,5781081765,137137,35427218,35397262,5
1775002022.8354645,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5706939737,5822047108,138098,40994575,40965343,961
1775002023.3355527,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5742367038,5857444356,138104,35427301,35397248,6
1775002023.835642,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5777104357,5892154640,138112,34737319,34710284,8
1775002024.3357358,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5818099035,5933120081,140632,40994678,40965441,2520
1775002024.8358252,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5853526638,5968517539,141155,35427603,35397458,523
1775002025.3359156,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5894521358,6009482889,142423,40994720,40965350,1268
1775002025.836004,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5929948797,6044880109,142458,35427439,35397220,35
1775002026.3360956,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,5964686296,6079590372,142462,34737499,34710263,4
1775002026.836184,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,6005681202,6120555819,142755,40994906,40965447,293
1775002027.3362746,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,6041108703,6155953004,142766,35427501,35397185,11
